epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3434,0.3417,89.2300,0.0000,0.0000,36.39
1,0.3389,0.3332,89.2300,0.0000,0.0000,36.42
2,0.3270,0.3301,89.2300,0.0000,0.0000,36.71
3,0.3260,0.3297,89.2300,0.0000,0.0000,37.18
4,0.3260,0.3298,89.2300,0.0000,0.0000,36.71
5,0.3260,0.3297,89.2300,0.0000,0.0000,36.67
6,0.3260,0.3297,89.2300,0.0000,0.0000,38.90
7,0.3260,0.3298,89.2300,0.0000,0.0000,46.47
8,0.3260,0.3297,89.2300,0.0000,0.0000,40.69
9,0.3260,0.3298,89.2300,0.0000,0.0000,37.17
10,0.3260,0.3298,89.2300,0.0000,0.0000,38.05
