epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3378,0.3261,89.2800,0.0000,0.0000,8.79
1,0.3251,0.3250,89.2800,0.0000,0.0000,8.67
2,0.3238,0.3177,89.2800,0.0000,0.0000,9.11
3,0.3012,0.2843,91.3100,0.9432,0.2015,10.07
4,0.2847,0.2804,91.5100,0.9407,0.2220,9.12
5,0.2821,0.2787,91.5700,0.9526,0.2248,9.44
6,0.2811,0.2785,91.5500,0.9871,0.2146,9.65
7,0.2798,0.2787,91.5500,1.0000,0.2118,9.65
8,0.2793,0.2760,91.6000,0.9462,0.2295,10.01
9,0.2780,0.2757,91.8000,0.9961,0.2360,9.71
10,0.2767,0.2730,91.8600,0.9542,0.2528,9.69
11,0.2753,0.2729,91.8500,0.9923,0.2416,10.17
12,0.2741,0.2726,91.8500,0.9923,0.2416,9.95
13,0.2740,0.2728,91.8700,0.9675,0.2500,9.96
14,0.2741,0.2731,91.8400,0.9923,0.2407,9.97
15,0.2749,0.2757,91.6600,0.9312,0.2397,10.00
16,0.2742,0.2728,91.8700,0.9512,0.2547,10.17
17,0.2729,0.2727,91.8500,0.9541,0.2519,10.74
