epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3360,0.3198,89.4900,0.0000,0.0000,15.21
1,0.3267,0.3189,89.4900,0.0000,0.0000,13.88
2,0.3258,0.3182,89.4900,0.0000,0.0000,9.82
3,0.3130,0.2782,91.7600,0.8874,0.2474,9.91
4,0.2873,0.2719,91.9000,0.9801,0.2341,9.87
5,0.2829,0.2678,92.0700,0.9924,0.2474,9.95
6,0.2811,0.2676,92.0500,0.9539,0.2559,9.69
7,0.2802,0.2670,92.0700,0.9962,0.2464,10.09
8,0.2798,0.2672,92.0600,1.0000,0.2445,11.75
9,0.2797,0.2678,91.9900,0.9921,0.2398,10.24
10,0.2798,0.2719,91.8500,0.9797,0.2293,10.35
11,0.2797,0.2667,92.0500,0.9923,0.2455,10.27
12,0.2798,0.2666,92.0900,0.9643,0.2569,10.17
13,0.2787,0.2665,92.0600,1.0000,0.2445,10.58
14,0.2789,0.2683,92.0000,0.9883,0.2417,10.88
15,0.2794,0.2671,92.0400,0.9100,0.2693,10.71
16,0.2783,0.2665,92.1000,0.9815,0.2531,10.37
17,0.2784,0.2677,92.0600,1.0000,0.2445,10.16
18,0.2792,0.2671,92.0800,0.9779,0.2521,10.09
19,0.2788,0.2668,92.0600,0.9923,0.2464,10.47
20,0.2782,0.2676,92.0600,1.0000,0.2445,10.04
21,0.2769,0.2664,92.1400,0.9818,0.2569,10.19
22,0.2769,0.2667,92.0600,1.0000,0.2445,10.25
23,0.2771,0.2667,92.1100,0.9580,0.2607,10.85
24,0.2766,0.2664,92.1000,0.9579,0.2598,10.25
25,0.2766,0.2663,92.0500,0.9672,0.2521,10.22
26,0.2780,0.2663,92.0600,0.9707,0.2521,10.32
27,0.2769,0.2663,92.1100,0.9645,0.2588,10.35
28,0.2773,0.2676,91.9800,1.0000,0.2369,10.23
29,0.2768,0.2660,92.1000,0.9745,0.2550,10.25
30,0.2770,0.2667,92.0600,0.9923,0.2464,9.89
31,0.2768,0.2665,92.1000,0.9644,0.2578,10.29
32,0.2771,0.2665,92.0600,0.9777,0.2502,10.40
33,0.2769,0.2664,92.1000,0.9611,0.2588,10.18
34,0.2763,0.2660,92.1400,0.9853,0.2559,10.06
