epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3351,0.3266,89.2300,0.0000,0.0000,74.02
1,0.3261,0.3266,89.2300,0.0000,0.0000,117.70
2,0.3261,0.3266,89.2300,0.0000,0.0000,121.23
3,0.3260,0.3264,89.2300,0.0000,0.0000,81.70
4,0.3255,0.3252,89.2300,0.0000,0.0000,109.48
5,0.3015,0.2751,91.7000,0.9768,0.2349,105.54
6,0.2810,0.2727,91.8300,0.9887,0.2442,93.49
7,0.2781,0.2727,91.8000,1.0000,0.2386,68.59
8,0.2771,0.2724,91.8100,0.9886,0.2423,105.97
9,0.2763,0.2728,91.8000,1.0000,0.2386,105.29
10,0.2759,0.2729,91.8000,1.0000,0.2386,65.89
11,0.2763,0.2737,91.8000,1.0000,0.2386,97.84
12,0.2751,0.2722,91.8700,0.9962,0.2461,112.10
13,0.2744,0.2764,91.7700,0.9472,0.2498,90.60
14,0.2867,0.2805,91.4600,0.9339,0.2228,80.41
15,0.2820,0.2755,91.7200,0.9844,0.2349,111.77
16,0.2787,0.2747,91.6600,0.9802,0.2303,103.56
17,0.2772,0.2750,91.6600,0.9386,0.2414,66.82
