epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3440,0.3284,89.0800,0.0000,0.0000,9.21
1,0.3044,0.2822,91.6200,0.9704,0.2399,10.03
2,0.2818,0.2785,91.6500,1.0000,0.2353,10.19
3,0.2792,0.2783,91.6400,0.9741,0.2408,9.69
4,0.2786,0.2782,91.6600,0.9542,0.2482,9.42
5,0.2781,0.2780,91.6600,0.9607,0.2463,9.59
6,0.2774,0.2779,91.6800,0.9305,0.2573,9.52
7,0.2769,0.2781,91.6600,0.9674,0.2445,9.52
8,0.2774,0.2777,91.7000,0.9816,0.2445,9.33
9,0.2775,0.2784,91.6500,1.0000,0.2353,9.57
10,0.2765,0.2771,91.6700,0.9744,0.2436,9.61
11,0.2764,0.2773,91.6700,0.9814,0.2418,9.60
12,0.2762,0.2785,91.6900,0.9677,0.2473,9.91
13,0.2767,0.2824,91.5500,0.8997,0.2546,9.74
14,0.2763,0.2776,91.6500,1.0000,0.2353,9.72
15,0.2752,0.2779,91.6500,1.0000,0.2353,9.94
