epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3425,0.3401,89.2800,0.0000,0.0000,38.43
1,0.3287,0.3239,89.2800,0.0000,0.0000,38.84
2,0.3180,0.2923,91.0300,0.9227,0.1782,40.29
3,0.2917,0.2809,91.4700,0.9955,0.2052,38.70
4,0.2855,0.3070,90.1200,0.6810,0.1474,38.55
5,0.2836,0.2786,91.5200,1.0000,0.2090,38.19
6,0.2817,0.2800,91.4100,0.9347,0.2136,38.45
7,0.2815,0.2776,91.6400,0.9504,0.2323,38.13
8,0.2810,0.2821,91.3400,0.9055,0.2146,37.96
9,0.2811,0.2899,91.0800,0.9091,0.1866,37.91
10,0.2808,0.2986,90.6300,0.7733,0.1782,39.51
11,0.2803,0.2834,91.4200,0.9385,0.2136,38.65
12,0.2786,0.2785,91.4100,0.9277,0.2155,39.53
