epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3332,0.3201,89.5300,0.0000,0.0000,114.97
1,0.3255,0.3194,89.5300,0.0000,0.0000,79.78
2,0.3068,0.2746,91.7100,0.9291,0.2254,113.84
3,0.2846,0.2666,92.0800,0.9923,0.2455,125.40
4,0.2813,0.2673,92.0900,0.9961,0.2455,92.86
5,0.2804,0.2679,92.1000,1.0000,0.2455,97.44
6,0.2792,0.2666,92.1000,0.9639,0.2550,123.66
7,0.2784,0.2668,92.0800,1.0000,0.2436,105.85
8,0.2771,0.2660,92.1000,0.9849,0.2493,88.90
9,0.2766,0.2657,92.0800,0.9603,0.2541,120.22
10,0.2763,0.2655,92.1100,0.9674,0.2550,113.53
11,0.2764,0.2655,92.1200,0.9544,0.2598,82.25
12,0.2762,0.2659,92.1100,0.9924,0.2483,124.77
13,0.2762,0.2656,92.0600,0.9810,0.2464,109.44
14,0.2762,0.2667,92.0600,0.9738,0.2483,86.03
15,0.2777,0.2656,92.1300,0.9745,0.2550,125.14
16,0.2755,0.2656,92.1300,0.9643,0.2579,112.92
