epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3435,0.3332,89.3200,0.0000,0.0000,136.54
1,0.3269,0.3237,89.3200,0.0000,0.0000,88.26
2,0.3070,0.2916,90.9800,0.8547,0.1873,120.95
3,0.2890,0.2849,91.4500,0.8610,0.2378,125.05
4,0.2869,0.2830,91.5700,0.8947,0.2388,114.54
5,0.2851,0.2781,91.6700,0.9537,0.2313,79.98
6,0.2845,0.2845,91.4900,0.8780,0.2360,126.13
7,0.2843,0.2784,91.6100,0.9421,0.2285,116.16
8,0.2830,0.2791,91.5000,0.8978,0.2303,81.06
9,0.2825,0.2810,91.5600,0.8916,0.2388,122.01
10,0.2807,0.2842,91.3900,0.8462,0.2369,117.24
