epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3430,0.3444,89.1000,0.0000,0.0000,162.46
1,0.3414,0.3446,89.1000,0.0000,0.0000,200.54
2,0.3302,0.3256,89.1000,0.0000,0.0000,164.17
3,0.3057,0.2929,91.0400,0.8789,0.2064,169.00
4,0.2937,0.2934,90.9300,0.9507,0.1771,204.28
5,0.2898,0.2868,91.2600,0.9696,0.2046,156.74
6,0.2886,0.2929,90.9500,0.9384,0.1817,162.05
7,0.2884,0.2880,91.1300,1.0000,0.1862,204.56
8,0.2873,0.2934,90.8700,1.0000,0.1624,169.21
9,0.2869,0.2870,91.3400,0.9870,0.2083,171.51
10,0.2840,0.2829,91.4600,1.0000,0.2165,199.79
11,0.2836,0.2851,91.3800,0.9957,0.2101,158.33
12,0.2831,0.2856,91.3200,1.0000,0.2037,179.32
13,0.2827,0.2829,91.4500,1.0000,0.2156,1655.63
14,0.2826,0.2888,91.2400,0.9496,0.2073,1081.38
15,0.2819,0.2811,91.5300,0.9959,0.2239,225.06
16,0.2817,0.2808,91.5400,0.9959,0.2248,166.43
17,0.2816,0.2827,91.4100,1.0000,0.2119,180.46
18,0.2816,0.2864,91.2600,0.9426,0.2110,192.90
19,0.2812,0.2809,91.5400,0.9959,0.2248,162.88
20,0.2809,0.2807,91.5700,0.9557,0.2376,196.25
21,0.2809,0.2812,91.5500,0.9520,0.2367,171.52
22,0.2810,0.2807,91.5700,0.9557,0.2376,163.89
23,0.2810,0.2822,91.4600,0.9338,0.2330,222.68
24,0.2808,0.2844,91.3500,0.9245,0.2248,282.74
25,0.2805,0.2808,91.6200,0.9884,0.2339,139.25
