epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3373,0.3238,89.3200,0.0000,0.0000,81.34
1,0.3054,0.2783,91.7300,0.9513,0.2378,120.88
2,0.2812,0.2724,91.8800,0.9812,0.2444,129.47
3,0.2782,0.2719,91.9200,0.9610,0.2537,90.43
4,0.2757,0.2717,91.8700,0.9670,0.2472,123.42
5,0.2752,0.2722,91.8900,0.9606,0.2509,114.30
6,0.2747,0.2720,91.9100,0.9609,0.2528,82.88
7,0.2750,0.2718,91.9000,0.9640,0.2509,122.06
8,0.2747,0.2720,91.8900,0.9573,0.2519,118.25
9,0.2732,0.2718,91.9100,0.9544,0.2547,88.36
