epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3385,0.3210,89.5500,0.0000,0.0000,90.84
1,0.3263,0.3208,89.5500,0.0000,0.0000,116.13
2,0.3255,0.3197,89.5500,0.0000,0.0000,114.64
3,0.3254,0.3195,89.5500,0.0000,0.0000,78.68
4,0.3254,0.3197,89.5500,0.0000,0.0000,116.63
5,0.3252,0.3196,89.5500,0.0000,0.0000,115.16
6,0.3005,0.2663,92.1400,0.9642,0.2574,88.89
7,0.2757,0.2661,92.0900,0.9847,0.2469,113.06
8,0.2735,0.2671,92.1000,0.9885,0.2469,120.18
9,0.2727,0.2645,92.1200,0.9606,0.2565,108.50
10,0.2724,0.2650,92.1200,1.0000,0.2459,93.91
11,0.2723,0.2646,92.1500,0.9962,0.2498,119.59
12,0.2721,0.2647,92.1200,1.0000,0.2459,100.87
13,0.2725,0.2647,92.1200,0.9961,0.2469,102.29
14,0.2715,0.2648,92.1200,0.9509,0.2593,130.84
