epoch,avg_train_loss,avg_valid_loss,valid_accuracy,precision,recall,elapsed_time
0,0.3486,0.3403,89.2800,0.0000,0.0000,115.77
1,0.3331,0.3260,89.2800,0.0000,0.0000,93.37
2,0.3143,0.2835,91.4300,0.9151,0.2211,105.18
3,0.2861,0.2737,91.8600,1.0000,0.2407,117.84
4,0.2828,0.2737,91.8500,1.0000,0.2397,121.93
5,0.2802,0.2753,91.8400,1.0000,0.2388,95.96
6,0.2793,0.2730,91.8200,0.9601,0.2472,115.51
7,0.2791,0.2730,91.8500,1.0000,0.2397,113.24
8,0.2789,0.2733,91.8300,0.9740,0.2444,84.38
9,0.2787,0.2728,91.8300,0.9885,0.2407,117.76
10,0.2794,0.2731,91.8500,0.9961,0.2407,125.94
11,0.2791,0.2732,91.8200,0.9774,0.2425,84.36
12,0.2787,0.2732,91.8700,1.0000,0.2416,116.37
13,0.2787,0.2733,91.8400,0.9923,0.2407,123.22
14,0.2772,0.2729,91.8600,1.0000,0.2407,80.44
